theme,folder,image_id,file,original_filename,original_width,original_height,published_width,published_height
wetland-park,05_stable_diffusion,SD_1_5,images/05_stable_diffusion/wetland-park_SD_1_5.jpg,SD_1_5.png,1024,768,1024,768
wetland-park,05_stable_diffusion,SD_2_1,images/05_stable_diffusion/wetland-park_SD_2_1.jpg,sd_2_1.png,1608,880,1608,880
wetland-park,05_stable_diffusion,SD_2_2,images/05_stable_diffusion/wetland-park_SD_2_2.jpg,sd_2_2.png,1608,880,1608,880
wetland-park,05_stable_diffusion,SD_2_3,images/05_stable_diffusion/wetland-park_SD_2_3.jpg,sd_2_3.png,1608,880,1608,880
wetland-park,05_stable_diffusion,SD_2_4,images/05_stable_diffusion/wetland-park_SD_2_4.jpg,sd_2_4.png,1608,880,1608,880
wetland-park,05_stable_diffusion,SD_2_5,images/05_stable_diffusion/wetland-park_SD_2_5.jpg,sd_2_5.png,1608,880,1608,880
wetland-park,05_stable_diffusion,SD_3_1,images/05_stable_diffusion/wetland-park_SD_3_1.jpg,sd_3_1.png,1608,880,1608,880
wetland-park,05_stable_diffusion,SD_3_2,images/05_stable_diffusion/wetland-park_SD_3_2.jpg,sd_3_2.png,1608,880,1608,880
wetland-park,05_stable_diffusion,SD_3_3,images/05_stable_diffusion/wetland-park_SD_3_3.jpg,sd_3_3.png,1608,880,1608,880
wetland-park,05_stable_diffusion,SD_3_4,images/05_stable_diffusion/wetland-park_SD_3_4.jpg,sd_3_4.png,1608,880,1608,880
wetland-park,05_stable_diffusion,SD_3_5,images/05_stable_diffusion/wetland-park_SD_3_5.jpg,sd_3_5.png,1608,880,1608,880
urban-riverfront,05_stable_diffusion,SD_1_1,images/05_stable_diffusion/urban-riverfront_SD_1_1.jpg,SD_1_1.png,1248,704,1248,704
urban-riverfront,05_stable_diffusion,SD_1_2,images/05_stable_diffusion/urban-riverfront_SD_1_2.jpg,SD_1_2.png,1248,704,1248,704
urban-riverfront,05_stable_diffusion,SD_1_3,images/05_stable_diffusion/urban-riverfront_SD_1_3.jpg,SD_1_3.png,1248,704,1248,704
